time latitude longitude depth mag magType
2023-03-23T09:56:35.530Z 18.126 -67.0236666666667 22.41 2.6 md
2023-03-23T09:53:00.860Z 31.1275 -116.675 10.04 3.94 ml
2023-03-23T09:19:53.987Z 38.0255 36.4149 10 4.9 mb
2023-03-23T08:52:46.080Z 19.2618333333333 -155.4055 31.35 2.53 ml
2023-03-23T07:56:38.931Z -7.6266 127.8385 137.474 4.8 mb
2023-03-23T07:34:41.050Z 51.854 -178.0785 3.14 2.6 ml
2023-03-23T07:18:18.320Z 36.344 71.1837 89.845 4.3 mb
2023-03-23T06:57:06.532Z 44.4544 -107.7213 10.378 2.8 ml
2023-03-23T06:08:23.747Z -16.3388 -75.1132 10 4.2 mb
2023-03-23T05:52:18.379Z -10.7091 164.6633 10 5.2 mb
2023-03-23T05:45:22.524Z 37.8989 36.6267 8.054 4.4 mb
2023-03-23T05:43:54.698Z -34.0636 -70.2853 120.291 4.1 mb
2023-03-23T05:14:30.440Z 17.951 -66.9575 7.13 2.53 md
2023-03-23T04:31:04.730Z 18.5723333333333 -66.7698333333333 28.03 2.76 md
2023-03-23T03:39:02.898Z 59.6757 -148.792 0 2.5 ml
2023-03-23T03:38:53.860Z 36.6928329 -121.3496704 5.14 3.36 ml
2023-03-23T03:37:56.542Z -42.4953 -82.6052 10 4.7 mb
2023-03-23T03:30:42.009Z 40.416 20.627 10 4.4 mb
2023-03-23T02:56:55.124Z -42.7554 -82.3794 10 5.1 mww
2023-03-23T02:53:50.798Z 39.3485 69.7202 10 4.6 mb
2023-03-23T02:09:34.557Z 40.4066 20.6939 10 4 mb
2023-03-23T01:44:41.503Z 10.4715 -86.1547 34.508 4.4 mb
2023-03-23T01:43:20.540Z 40.4612 20.7119 14.298 4.9 mb
2023-03-23T00:49:07.247Z 60.0534 -152.9639 108.7 2.7 ml
2023-03-23T00:17:39.688Z -4.4149 144.2648 131.627 5.7 mww
2023-03-22T23:31:55.803Z 19.2526 121.1612 30.201 5.6 mww
2023-03-22T23:23:09.045Z -32.8391 139.4505 9.545 4.9 mb
2023-03-22T22:08:00.560Z 47.79083333333333 -120.8405 5.55 2.6 ml
2023-03-22T21:51:04.034Z 23.6607 121.3256 5.805 4.2 mb
2023-03-22T20:55:55.176Z -5.4076 34.9237 10 4.4 mb
2023-03-22T20:47:16.838Z -5.2945 34.9375 10 4.6 mb
2023-03-22T20:23:45.371Z -8.8035 123.1609 109.503 5.1 mb
2023-03-22T20:07:44.829Z 39.3829 69.8809 11.569 5.8 mww
2023-03-22T19:43:25.389Z 38.0905 38.0478 10 4.3 mwr
2023-03-22T19:05:24.660Z -15.2726 -171.7108 10 4.5 mb
2023-03-22T18:51:20.948Z 54.9238 -159.7621 30.8 2.5 ml
2023-03-22T17:18:50.028Z 35.7477 -104.8349 5 2.5 ml
2023-03-22T16:00:31.218Z -23.4797 -66.5108 209.976 6.5 mww
2023-03-22T15:18:49.522Z -23.5608 -66.5151 211.935 5.3 mww
2023-03-22T14:50:33.977Z 47.4002 6.8651 9.025 4.2 mb
2023-03-22T14:34:04.801Z 58.1682 -137.4637 17.6 3.8 ml
2023-03-22T14:16:46.540Z -30.2645 -177.3161 10 5.5 mb
2023-03-22T13:45:06.311Z -11.4451 -73.2035 10 4.5 mb
2023-03-22T12:37:48.948Z 51.4508 159.6278 10 4.3 mb
